ID del cliente;Nombre;Apellido;Correo
1;Lucía;Vega;luciavega@hotmail.com
2;Paula;Alvarez;paulaalvarez@hotmail.com
3;María;Martínez;mariamartinez@hotmail.com
4;Alejandro;Ortega;alejandroortega@hotmail.com
5;Sara;Paz;sarapaz@hotmail.com
6;Marcela;Muñoz;marcelamunoz@hotmail.com
7;Elena;Díaz;elenadiaz@hotmail.com
8;Luis;Rodríguez;luisrodriguez@hotmail.com
9;Carlos;López;carloslopez@hotmail.com
10;Ana;Castro;anacastro@hotmail.com
11;Camila;Ramos;camilaramos@hotmail.com
12;Laura;Gómez;lauragomez@hotmail.com
13;Andrés;Romero;andresromero@hotmail.com
14;Cristina;Sosa;cristinasosa@hotmail.com
15;Juan;García;juangarcia@hotmail.com
16;Julián;Luna;julianluna@hotmail.com
17;Mateo;Moreno;mateomoreno@hotmail.com
18;Diego;Torres;diegotorres@hotmail.com
19;Javier;Gutiérrez;javiergutierrez@hotmail.com
20;Daniel;Ruiz;danielruiz@hotmail.com
21;Lucas;Santos;lucassantos@hotmail.com
22;Sofía;Hernández;sofiahernandez@hotmail.com
23;Valeria;Navarro;valerianavarro@hotmail.com
24;Valentina;Jiménez;valentinajimenez@hotmail.com
25;Ana;Sánchez;anasanchez@hotmail.com
26;Carla;Molina;carlamolina@hotmail.com
27;Gabriel;Iglesias;gabrieliglesias@hotmail.com
28;David;Pérez;davidperez@hotmail.com
29;Pablo;Dominguez;pablodominguez@hotmail.com
30;Marta;Fernández;martfernandez@hotmail.com
31;Juan;Pirela;pirelaj197@gmail.com
